"order_id","order_date","order_priority","order_quantity","order_status","payment_method","product_name","product_category","product_sub_category","unit_price","unit_cost","discount","shipping_address","shipping_method","ship_date","ship_mode","packaging","shipping_cost","region","city","zip_code","ratings","customer_segment","customer_name","customer_age","email","phone","gender","income"
23945,"2025-02-17","Urgent",3,"Received","Cash","HappyBear Jeans","Clothing","Kids","49.34","41.02","0.37","Unit 3418 Box 5761, DPO AP 94392","Same-Day","2025-03-18","Ground","Envelope Small","29.58","Central","West Melissamouth",42453,NULL,"Corporate","Ana Stewart DDS",25,"ana.stewart.dds@example.com","001-548-967-5769x385","Female","49267.09"
21855,"2024-09-05","Critical",7,"Received","Cash","Floral Skirt","Clothing","Women","101.70","71.72","0.40","PSC 2078, Box 8323, APO AA 02511","Ordinary","2024-09-23","Air (Post)","Box Large","42.51","East","Port Amberstad",37505,5,"Corporate","Amy Snyder",48,"amy.snyder@outlook.com","(207)780-1112","Male","87193.34"
21331,"2024-07-27","Low",4,"Received","Cash","GymMaster Stepper","Sports","Fitness","126.59","79.39","0.36","23419 Brennan Fords Apt. 515, Chandlermouth, CO 90494","Express","2024-08-04","Air (Freight)","Box Large","24.54","West","South Megantown",78312,NULL,"Home Office","Sarah Herrera",70,"sarah.herrera@example.com","001-419-414-5753x99645","Male","55203.56"
23413,"2025-01-09","Medium",7,"Received","Cash","FlexiWork Table","Home","Furniture","1150.06","772.55","0.48","52946 Jones Fields Suite 016, Mariaview, WI 32730","Express","2025-01-16","Air (Post)","Box Large","16.12","Central","Morrisonport",50157,NULL,"Small Business","Jillian Martin",28,"jillian.martin@example.com","001-854-611-0271x599","Male","58683.49"
23431,"2025-01-11","Critical",6,"Received","Cash","ThinkBook Ultra","Electronics","Laptops","1995.16","1663.86","0.10","55491 Rodriguez Skyway, South Keith, MN 45842","Express","2025-01-29","Air (Post)","Box Large","36.97","East","Lindseyport",45136,NULL,"Consumer","Rachel Hess",56,"rachel.hess@yahoo.com","(344)307-4268x203","Female","118901.80"
24159,"2025-03-05","Urgent",6,"Shipped","Cash","SatinLuxe Jacket","Clothing","Women","75.84","64.53","0.36","47709 Turner Shoals Suite 998, New Dawn, FL 75729","Same-Day","2025-04-03","Air (Freight)","Box Large","38.12","South","Chadbury",26800,NULL,"Consumer","Marie Walker",44,"marie.walker@example.com","(896)938-7312","Female","133699.23"
23455,"2025-01-12","Medium",7,"Received","Cash","HomeGym Ball","Sports","Indoor","179.82","108.01","0.49","PSC 6380, Box 7989, APO AA 76952","Same-Day","2025-01-15","Ground","Box Large","7.81","Central","Garciaburgh",91135,1,"Corporate","Miss Nicole Bryant",43,"miss.nicole.bryant@outlook.com","9045824255","Female","90595.37"
24254,"2025-03-12","Critical",4,"Shipped","Cash","Xperia X","Electronics","Mobile Phones","687.08","554.73","0.47","827 William Plains, North Sandra, NV 66722","Ordinary","2025-04-06","Air (Post)","Box Large","37.19","Central","Davisbury",47078,NULL,"Small Business","Cynthia Clarke",48,"cynthia.clarke@example.com","703-544-2817","Female","117074.74"
23246,"2024-12-28","Low",10,"Received","Cash","Ricoh ProShot","Electronics","Cameras","743.09","546.02","0.49","444 Kramer Center, New Alexisview, IN 76893","Ordinary","2025-01-20","Ground","Box Large","14.72","West","Alanbury",55355,NULL,"Corporate","Allison Watson",18,"allison.watson@hotmail.com","319.859.5916x6946","Male","126144.96"
24665,"2025-04-15","Medium",2,"Shipped","Cash","Nokia Nova","Electronics","Mobile Phones","1058.18","796.28","0.20","58169 Daryl Turnpike, Taylorborough, AL 38683","Same-Day","2025-04-30","Ground","Box Large","9.13","Central","South Dennis",63231,NULL,"Consumer","Amy Levine",34,"amy.levine@example.com","440-713-0279","Male","130606.95"
21647,"2024-08-19","Urgent",10,"Received","Cash","ChefMaster Tray","Home","Kitchen","138.48","96.55","0.32","5029 Monica Path Suite 321, Dorothyside, MN 43697","Express","2024-09-10","Air (Freight)","Box Large","31.84","Central","New Lauren",57067,NULL,"Consumer","Stephanie Johnson MD",18,"stephanie.johnson.md@gmail.com","(241)802-8474","Male","79298.65"
24159,"2025-03-05","Urgent",1,"Shipped","Cash","NitroBlade Studio","Electronics","Laptops","1340.05","877.47","0.13","47709 Turner Shoals Suite 998, New Dawn, FL 75729","Same-Day","2025-04-03","Air (Freight)","Box Large","38.12","South","Chadbury",26800,NULL,"Consumer","Marie Walker",44,"marie.walker@example.com","(896)938-7312","Female","133699.23"
20474,"2024-05-18","Medium",2,"Received","Cash","SunShield Stove","Sports","Outdoor","385.01","287.77","0.06","885 Michael Knoll Apt. 861, Velazquezview, SC 47443","Same-Day","2024-06-01","Ground","Box Large","39.98","East","Lake Michellemouth",48591,3,"Small Business","Karen Wilkinson",42,"karen.wilkinson@gmail.com","+1-569-336-4014x8947","Female","54456.22"
23634,"2025-01-26","Urgent",1,"Received","Cash","CardioMax Rope","Sports","Fitness","162.22","145.36","0.08","3822 Bailey Burg, West Nancy, ND 02359","Same-Day","2025-01-27","Air (Freight)","Box Large","20.79","East","West Kimberly",42220,NULL,"Corporate","Donna Marshall",45,"donna.marshall@yahoo.com","001-789-919-5150x3517","Female","138228.20"
21931,"2024-09-11","Low",2,"Received","Cash","LittleStar Shoes","Clothing","Kids","36.10","19.12","0.14","755 Powell River, Port David, UT 25169","Same-Day","2024-09-22","Air (Post)","Box Large","35.45","Central","Benjaminfurt",77183,NULL,"Consumer","Kellie Lee",18,"kellie.lee@example.com","366-302-9444","Female","116668.47"
24405,"2025-03-24","Medium",2,"Shipped","Cash","Galaxy Prime","Electronics","Mobile Phones","926.70","645.01","0.29","1071 Maria Mountains, Lake Richard, WY 52233","Express","2025-04-12","Air (Freight)","Box Large","16.71","North","Derrickburgh",16351,NULL,"Consumer","Melissa Fernandez",22,"melissa.fernandez@hotmail.com","680.751.0196","Male","61420.42"
23294,"2024-12-31","Medium",9,"Received","Cash","GreenLeaf Cushion","Home","Decor","258.33","186.81","0.49","4981 Kevin Fords, Bruceside, AS 02744","Express","2025-01-03","Air (Freight)","Box Large","12.33","West","Christopherland",27209,5,"Home Office","Briana Sanders",42,"briana.sanders@outlook.com","001-251-716-5145x221","Male","51200.19"
22594,"2024-11-04","Medium",8,"Received","Cash","PureOak Cabinet","Home","Furniture","1081.72","906.47","0.32","Unit 7939 Box 8350, DPO AA 53310","Express","2024-11-19","Air (Post)","Box Large","16.08","West","Powellton",67555,1,"Home Office","Kristina Price",18,"kristina.price@hotmail.com","001-913-547-4181","Female","148108.76"
24846,"2025-04-30","Low",3,"Shipped","Cash","HomeAura Cushion","Home","Decor","128.21","100.05","0.23","1024 Johnson Creek Apt. 413, Briannahaven, OK 53813","Ordinary","2025-05-13","Air (Freight)","Box Large","39.69","North","East Frankshire",81278,NULL,"Consumer","Sandra Martin",49,"sandra.martin@outlook.com","723-745-3726x8714","Male","145844.23"
21372,"2024-07-29","Critical",3,"Received","Cash","UrbanFit Jeans","Clothing","Men","74.44","52.07","0.25","78281 Yvette Squares, East Jennifer, NC 24767","Same-Day","2024-08-26","Ground","Box Large","31.26","North","Port Jeffrey",88988,NULL,"Small Business","Brenda Davenport",26,"brenda.davenport@example.com","+1-878-497-6208x3093","Female","126572.10"
22289,"2024-10-11","Urgent",6,"Received","Cash","OnePlus S","Electronics","Mobile Phones","803.23","543.83","0.33","965 Kathy Street, Port Denise, AR 46761","Ordinary","2024-11-06","Air (Post)","Box Large","49.55","North","Potterborough",13982,NULL,"Consumer","Allison Payne",39,"allison.payne@example.com","929.377.0669x8736","Male","88598.36"
21038,"2024-07-01","High",8,"Received","Cash","SteelChef Pan","Home","Kitchen","202.96","157.43","0.47","443 Julia Glens, Tannerburgh, GA 18547","Ordinary","2024-07-06","Ground","Box Large","46.17","East","Farmertown",26095,NULL,"Home Office","Pamela Juarez",28,"pamela.juarez@example.com","001-900-638-9062x991","Male","126857.14"
22502,"2024-10-28","Critical",6,"Received","Cash","FlexiWork Stool","Home","Furniture","817.06","575.43","0.09","616 Alec Stravenue, West Tracyshire, NV 28276","Ordinary","2024-11-18","Air (Post)","Box Large","48.57","East","Blaketon",82872,NULL,"Small Business","Melinda Kelly",25,"melinda.kelly@gmail.com","+1-766-757-9223x58477","Male","83321.54"
20919,"2024-06-22","Urgent",8,"Received","Cash","Xperia Pro","Electronics","Mobile Phones","1036.56","610.56","0.11","328 Charles Stravenue, South Kelsey, NJ 32615","Ordinary","2024-07-10","Air (Post)","Box Large","14.68","East","North James",42151,NULL,"Small Business","Joanna Miller",55,"joanna.miller@gmail.com","972.704.9267","Male","67478.71"
24464,"2025-03-28","Urgent",9,"Shipped","Cash","StrikeForce Bike","Sports","Indoor","154.51","92.37","0.02","75101 Rose Fork Apt. 161, Lake Natalie, LA 93634","Express","2025-04-22","Air (Freight)","Box Large","35.73","Central","Lake Cheyennefurt",63462,NULL,"Home Office","Mary Butler",19,"mary.butler@outlook.com","673.902.4542","Male","44129.31"
25094,"2025-05-18","High",2,"Stocking","Cash","CampPro Bag","Sports","Outdoor","800.00","531.53","0.33","885 Moore Track, Elliottville, NE 61845","Express","2025-06-17","Ground","Box Large","23.09","South","Lake Ashley",73491,NULL,"Consumer","Karen Glass",58,"karen.glass@hotmail.com","(958)428-8826x17464","Male","90253.25"
24846,"2025-04-30","Low",4,"Shipped","Cash","EverTrack Backpack","Sports","Outdoor","466.82","354.45","0.15","1024 Johnson Creek Apt. 413, Briannahaven, OK 53813","Ordinary","2025-05-13","Air (Freight)","Box Large","39.69","North","East Frankshire",81278,NULL,"Consumer","Sandra Martin",49,"sandra.martin@outlook.com","723-745-3726x8714","Male","145844.23"
23257,"2024-12-29","Critical",4,"Received","Cash","CozyNest Plant","Home","Decor","269.56","177.43","0.34","PSC 5969, Box 5436, APO AA 97224","Express","2025-01-12","Air (Post)","Box Large","26.91","West","Staceymouth",27582,NULL,"Small Business","Catherine Lowery",70,"catherine.lowery@example.com","001-203-807-2938x9621","Female","81940.09"
24608,"2025-04-10","Medium",1,"Shipped","Cash","PowerDrive Kettlebell","Sports","Fitness","211.75","138.25","0.47","908 Ashley Burgs Apt. 220, Heathermouth, HI 62405","Ordinary","2025-04-27","Air (Freight)","Box Large","24.62","West","Nathanielshire",70553,NULL,"Consumer","Elizabeth Davenport",20,"elizabeth.davenport@gmail.com","6268616914","Male","147409.49"
21929,"2024-09-11","High",5,"Received","Cash","ZenPhone Pro","Electronics","Mobile Phones","1292.16","781.41","0.42","9665 Shelby Mills Suite 517, Harrismouth, VI 79660","Ordinary","2024-10-07","Ground","Box Large","40.11","Central","East Angelamouth",7583,NULL,"Small Business","Jessica Smith",41,"jessica.smith@example.com","+1-908-729-3953x4385","Male","103219.59"
23322,"2025-01-03","Critical",7,"Received","Cash","SoftRelax Shelf","Home","Furniture","715.46","520.25","0.12","962 Love Junction Apt. 322, Michelleton, OK 89270","Same-Day","2025-01-08","Air (Freight)","Box Large","30.43","West","North Katieberg",91500,NULL,"Small Business","Sandra Booker",55,"sandra.booker@outlook.com","(373)325-3724x5866","Male","96835.58"
21755,"2024-08-29","High",4,"Received","Cash","AquaSport Poncho","Sports","Outdoor","541.71","393.36","0.18","79455 Jill Road Apt. 071, South Kara, LA 15712","Express","2024-09-17","Ground","Box Large","11.66","East","Camposmouth",90542,NULL,"Consumer","Isabel Cunningham",31,"isabel.cunningham@hotmail.com","+1-768-399-1487x84021","Female","54161.28"
20530,"2024-05-22","Medium",8,"Received","Cash","NitroBlade Ultra","Electronics","Laptops","2051.87","1252.73","0.32","927 Hoffman Island, West Luisport, WY 87841","Same-Day","2024-06-16","Air (Post)","Box Large","30.98","South","Michaelport",10194,NULL,"Home Office","Nicole Massey",48,"nicole.massey@outlook.com","(894)210-0154x40554","Female","84141.34"
25076,"2025-05-17","Low",2,"Pending Payment","Cash","Lumix FocusX","Electronics","Cameras","1093.87","628.09","0.46","7043 Olivia Groves, North Josephtown, IL 39439","Ordinary","2025-06-09","Ground","Box Large","35.21","South","East Mckenzie",16847,NULL,"Corporate","Nicole Castro",23,"nicole.castro@example.com","001-656-584-8507","Male","69589.77"
24528,"2025-04-02","Critical",6,"Shipped","Cash","CardioMax Band","Sports","Fitness","187.81","162.58","0.38","6868 Anthony Row, Thomasstad, MH 08847","Ordinary","2025-04-12","Air (Post)","Box Large","30.10","West","Hoffmanberg",79082,NULL,"Home Office","Teresa Carter",59,"teresa.carter@hotmail.com","6922349043","Female","114508.93"
23662,"2025-01-28","High",4,"Received","Cash","Rainbow Hoodie","Clothing","Kids","50.31","36.87","0.29","376 Peterson Alley Suite 912, Patricialand, PA 17508","Same-Day","2025-02-05","Air (Freight)","Box Large","40.78","Central","Cortezburgh",31083,NULL,"Consumer","Stephanie Brooks",35,"stephanie.brooks@yahoo.com","629.636.3913","Male","103513.68"
24713,"2025-04-19","Low",7,"Shipped","Cash","StaminaCore Band","Sports","Fitness","153.01","121.39","0.05","491 Joshua Bypass, North Robertville, UT 70541","Express","2025-05-12","Ground","Box Medium","43.56","East","Andrewburgh",34967,NULL,"Corporate","Julia Brown",70,"julia.brown@yahoo.com","001-733-812-2498x88416","Male","105460.83"
21611,"2024-08-17","High",10,"Received","Cash","Sony Rapid","Electronics","Cameras","1614.67","921.07","0.23","PSC 3570, Box 8789, APO AP 17171","Ordinary","2024-09-07","Air (Post)","Box Medium","26.32","East","Port Melissa",10842,NULL,"Small Business","Tiffany Miller",66,"tiffany.miller@outlook.com","916-702-5962","Male","53506.25"
21637,"2024-08-19","High",5,"Received","Cash","ChefMaster Juicer","Home","Kitchen","66.26","53.95","0.00","PSC 0097, Box 3101, APO AA 55813","Express","2024-08-28","Air (Freight)","Box Large","49.26","West","Erinberg",81073,NULL,"Consumer","Savannah Deleon",42,"savannah.deleon@outlook.com","2215491188","Female","74343.61"
21977,"2024-09-15","Low",3,"Received","Cash","DeepBlue Hoodie","Clothing","Men","69.21","54.79","0.03","6225 James Port Apt. 347, Millsland, FM 37347","Same-Day","2024-09-29","Air (Freight)","Box Medium","11.10","North","Lake Jacobville",85998,NULL,"Consumer","Sharon Jackson",29,"sharon.jackson@yahoo.com","(832)511-8115x227","Female","50273.03"
20692,"2024-06-04","Urgent",1,"Received","Cash","Classic Jeans","Clothing","Men","55.96","28.08","0.19","19428 Ramirez Station, South David, MI 28425","Express","2024-06-16","Air (Post)","Box Large","22.05","East","Cherylville",27431,NULL,"Consumer","Laura Ramirez",29,"laura.ramirez@yahoo.com","(656)439-6910x969","Female","143827.56"
21652,"2024-08-19","Low",10,"Received","Cash","NitroBlade Ultra","Electronics","Laptops","2116.90","1680.03","0.25","58954 Fox Club, Joanstad, WY 36304","Ordinary","2024-09-01","Ground","Box Large","27.44","South","Davidside",54922,NULL,"Corporate","Amy Brown",66,"amy.brown@outlook.com","624.370.5979","Male","83606.61"
20337,"2024-05-06","Urgent",2,"Received","Cash","Lumix TrailCam","Electronics","Cameras","1681.15","886.13","0.37","5686 Perry Rest Apt. 943, Christopherton, WV 48318","Ordinary","2024-05-28","Air (Freight)","Box Large","17.05","South","North Erikachester",2431,NULL,"Home Office","Mrs. Sharon Thomas MD",25,"mrs..sharon.thomas.md@outlook.com","+1-256-959-1533x62206","Female","88350.87"
23956,"2025-02-17","Urgent",10,"Received","Cash","SilentStep Treadmill","Sports","Indoor","186.10","148.58","0.35","4929 Martinez Pine, East Amandaview, MP 07611","Ordinary","2025-03-05","Air (Freight)","Envelope Small","27.24","South","West Jason",59302,5,"Small Business","Elizabeth Kerr",40,"elizabeth.kerr@hotmail.com","(249)389-2603x56885","Male","77508.81"
22486,"2024-10-26","Medium",9,"Received","Cash","Galaxy Pro","Electronics","Mobile Phones","542.78","333.78","0.31","4120 Diane Heights Suite 504, Tarafurt, MO 93559","Ordinary","2024-10-29","Ground","Box Large","29.07","South","North Nicolefurt",71576,NULL,"Consumer","Sandra Miller",69,"sandra.miller@example.com","(437)991-1483x32026","Female","81690.45"
22074,"2024-09-22","Low",5,"Received","Cash","SpinMaster Ball","Sports","Indoor","196.69","137.96","0.31","860 Simpson Road Apt. 657, Patriciashire, PA 92669","Same-Day","2024-10-22","Air (Freight)","Box Medium","20.91","Central","Karenmouth",45694,NULL,"Small Business","Mariah Landry",52,"mariah.landry@example.com","+1-346-807-7547x301","Male","75468.78"
20325,"2024-05-05","Urgent",4,"Received","Cash","Olympus Alpha","Electronics","Cameras","1265.60","944.05","0.10","4553 Campbell Burgs, Hansonside, OK 27736","Express","2024-05-14","Ground","Box Large","35.15","Central","New Julie",17948,2,"Home Office","Brittany Mccall",21,"brittany.mccall@gmail.com","212-303-9104","Male","59195.89"
21043,"2024-07-02","Medium",9,"Received","Cash","IronLift Kettlebell","Sports","Fitness","248.41","147.63","0.05","818 Owens Stream, Stevenbury, SC 14670","Ordinary","2024-07-19","Air (Post)","Box Medium","32.33","Central","Port Jessica",72571,NULL,"Corporate","Makayla Rich",34,"makayla.rich@yahoo.com","001-517-326-2539x74485","Male","63333.56"
