Order ID,Order Date,Order Priority,Order Quantity,Order Status,Payment Method,Product Name,Product Category,Product Sub-Category,Unit Price,Unit Cost,Discount,Shipping Address,Shipping Method,Ship Date,Ship Mode,Packaging,Shipping Cost,Region,City,Zip Code,Ratings,Customer Segment,Customer Name,Customer Age,Email,Phone,Gender,Income
6,2020-01-01,Urgent,9,Received,Cash,HomeAura Lamp,Home,Decor,229.78,176.97,0.37,"78287 Tyler Course, Kramerhaven, CT 87846",Express,2020-01-30,Ground,Box Large,17.21,Central,Hodgestad,85598,,Small Business,Renee White,51,renee.white@yahoo.com,+1-759-570-7583,Female,88481.07
6,2020-01-01,Urgent,6,Received,Cash,CardioMax Rope,Sports,Fitness,120.33,81.2,0.35,"78287 Tyler Course, Kramerhaven, CT 87846",Express,2020-01-30,Ground,Box Large,17.21,Central,Hodgestad,85598,,Small Business,Renee White,51,renee.white@yahoo.com,+1-759-570-7583,Female,88481.07
6,2020-01-01,Urgent,3,Received,Cash,Breeze Sweater,Clothing,Men,49.76,29.52,0.05,"78287 Tyler Course, Kramerhaven, CT 87846",Express,2020-01-30,Ground,Box Large,17.21,Central,Hodgestad,85598,,Small Business,Renee White,51,renee.white@yahoo.com,+1-759-570-7583,Female,88481.07
7,2020-01-01,Low,5,Received,Credit Card,UrbanFit Jacket,Clothing,Men,61.73,43.49,0.38,"94236 Rodney Burgs Suite 486, North Josephberg, NY 03381",Ordinary,2020-01-03,Ground,Box Large,48.77,West,East Martha,50630,,Corporate,Deborah Jackson,46,deborah.jackson@gmail.com,3685829658,Female,135294.79
7,2020-01-01,Low,1,Received,Credit Card,SmartHeat Pan,Home,Kitchen,176.43,143.02,0.23,"94236 Rodney Burgs Suite 486, North Josephberg, NY 03381",Ordinary,2020-01-03,Ground,Box Large,48.77,West,East Martha,50630,,Corporate,Deborah Jackson,46,deborah.jackson@gmail.com,3685829658,Female,135294.79
7,2020-01-01,Low,7,Received,Credit Card,CampPro Stove,Sports,Outdoor,390.99,195.8,0.18,"94236 Rodney Burgs Suite 486, North Josephberg, NY 03381",Ordinary,2020-01-03,Ground,Box Large,48.77,West,East Martha,50630,,Corporate,Deborah Jackson,46,deborah.jackson@gmail.com,3685829658,Female,135294.79
7,2020-01-01,Low,4,Received,Credit Card,IdeaPad Vision,Electronics,Laptops,1907.98,1674.45,0.34,"94236 Rodney Burgs Suite 486, North Josephberg, NY 03381",Ordinary,2020-01-03,Ground,Box Large,48.77,West,East Martha,50630,2,Corporate,Deborah Jackson,46,deborah.jackson@gmail.com,3685829658,Female,135294.79
7,2020-01-01,Low,4,Received,Credit Card,SoftRelax Chair,Home,Furniture,688.01,359.24,0.31,"94236 Rodney Burgs Suite 486, North Josephberg, NY 03381",Ordinary,2020-01-03,Ground,Box Large,48.77,West,East Martha,50630,,Corporate,Deborah Jackson,46,deborah.jackson@gmail.com,3685829658,Female,135294.79
7,2020-01-01,Low,7,Received,Credit Card,FunPrint Jeans,Clothing,Kids,46.75,32.38,0.05,"94236 Rodney Burgs Suite 486, North Josephberg, NY 03381",Ordinary,2020-01-03,Ground,Box Large,48.77,West,East Martha,50630,,Corporate,Deborah Jackson,46,deborah.jackson@gmail.com,3685829658,Female,135294.79
8,2020-01-02,Low,2,Received,Debit Card,Sony TrailCam,Electronics,Cameras,2107.43,1786.11,0.1,"7608 Anderson Turnpike Suite 249, Lindsayhaven, OH 90553",Ordinary,2020-01-26,Air (Post),Box Large,10.3,Central,West Kennethberg,81737,5,Small Business,Lisa Johnson,50,lisa.johnson@hotmail.com,001-907-668-1487x1371,Female,139778.13
8,2020-01-02,Low,10,Received,Debit Card,NordicEdge Desk,Home,Furniture,652.73,557.39,0.01,"7608 Anderson Turnpike Suite 249, Lindsayhaven, OH 90553",Ordinary,2020-01-26,Air (Post),Box Large,10.3,Central,West Kennethberg,81737,2,Small Business,Lisa Johnson,50,lisa.johnson@hotmail.com,001-907-668-1487x1371,Female,139778.13
8,2020-01-02,Low,8,Received,Debit Card,StaminaCore Band,Sports,Fitness,170.36,129.43,0.39,"7608 Anderson Turnpike Suite 249, Lindsayhaven, OH 90553",Ordinary,2020-01-26,Air (Post),Box Large,10.3,Central,West Kennethberg,81737,,Small Business,Lisa Johnson,50,lisa.johnson@hotmail.com,001-907-668-1487x1371,Female,139778.13
8,2020-01-02,Low,4,Received,Debit Card,DeepBlue Shorts,Clothing,Men,53.22,42.03,0.31,"7608 Anderson Turnpike Suite 249, Lindsayhaven, OH 90553",Ordinary,2020-01-26,Air (Post),Box Large,10.3,Central,West Kennethberg,81737,,Small Business,Lisa Johnson,50,lisa.johnson@hotmail.com,001-907-668-1487x1371,Female,139778.13
8,2020-01-02,Low,10,Received,Debit Card,StrikeForce Treadmill,Sports,Indoor,116.18,75.62,0.26,"7608 Anderson Turnpike Suite 249, Lindsayhaven, OH 90553",Ordinary,2020-01-26,Air (Post),Box Large,10.3,Central,West Kennethberg,81737,,Small Business,Lisa Johnson,50,lisa.johnson@hotmail.com,001-907-668-1487x1371,Female,139778.13
8,2020-01-02,Low,5,Received,Debit Card,ZenPhone Pro,Electronics,Mobile Phones,1221.38,787.59,0.04,"7608 Anderson Turnpike Suite 249, Lindsayhaven, OH 90553",Ordinary,2020-01-26,Air (Post),Box Large,10.3,Central,West Kennethberg,81737,,Small Business,Lisa Johnson,50,lisa.johnson@hotmail.com,001-907-668-1487x1371,Female,139778.13
8,2020-01-02,Low,7,Received,Debit Card,ProShot DartBoard,Sports,Indoor,357.64,231.03,0.35,"7608 Anderson Turnpike Suite 249, Lindsayhaven, OH 90553",Ordinary,2020-01-26,Air (Post),Box Large,10.3,Central,West Kennethberg,81737,,Small Business,Lisa Johnson,50,lisa.johnson@hotmail.com,001-907-668-1487x1371,Female,139778.13
9,2020-01-02,Urgent,9,Received,Cash,AquaSport Bottle,Sports,Outdoor,297.24,165.14,0.44,"3207 Brewer Neck, Millerbury, FM 99149",Same-Day,2020-02-01,Air (Freight),Box Large,43.58,Central,Port Johnnyview,90158,1,Small Business,Beverly Williams,37,beverly.williams@gmail.com,001-736-669-2158x54918,Male,134967.31
9,2020-01-02,Urgent,1,Received,Cash,OakCraft Shelf,Home,Furniture,971.16,717.95,0.17,"3207 Brewer Neck, Millerbury, FM 99149",Same-Day,2020-02-01,Air (Freight),Box Large,43.58,Central,Port Johnnyview,90158,,Small Business,Beverly Williams,37,beverly.williams@gmail.com,001-736-669-2158x54918,Male,134967.31
9,2020-01-02,Urgent,10,Received,Cash,SoftCloud Shorts,Clothing,Kids,43.31,22.55,0.22,"3207 Brewer Neck, Millerbury, FM 99149",Same-Day,2020-02-01,Air (Freight),Box Large,43.58,Central,Port Johnnyview,90158,,Small Business,Beverly Williams,37,beverly.williams@gmail.com,001-736-669-2158x54918,Male,134967.31
9,2020-01-02,Urgent,7,Received,Cash,StrikeForce DartBoard,Sports,Indoor,176.3,94.66,0.33,"3207 Brewer Neck, Millerbury, FM 99149",Same-Day,2020-02-01,Air (Freight),Box Large,43.58,Central,Port Johnnyview,90158,,Small Business,Beverly Williams,37,beverly.williams@gmail.com,001-736-669-2158x54918,Male,134967.31
9,2020-01-02,Urgent,6,Received,Cash,SilkElegance Blouse,Clothing,Women,57.29,45.96,0.32,"3207 Brewer Neck, Millerbury, FM 99149",Same-Day,2020-02-01,Air (Freight),Box Large,43.58,Central,Port Johnnyview,90158,3,Small Business,Beverly Williams,37,beverly.williams@gmail.com,001-736-669-2158x54918,Male,134967.31
9,2020-01-02,Urgent,6,Received,Cash,Redmi Edge,Electronics,Mobile Phones,462.63,333.29,0.3,"3207 Brewer Neck, Millerbury, FM 99149",Same-Day,2020-02-01,Air (Freight),Box Large,43.58,Central,Port Johnnyview,90158,,Small Business,Beverly Williams,37,beverly.williams@gmail.com,001-736-669-2158x54918,Male,134967.31
9,2020-01-02,Urgent,1,Received,Cash,SmartHeat Blender,Home,Kitchen,139.85,125.29,0.05,"3207 Brewer Neck, Millerbury, FM 99149",Same-Day,2020-02-01,Air (Freight),Box Large,43.58,Central,Port Johnnyview,90158,4,Small Business,Beverly Williams,37,beverly.williams@gmail.com,001-736-669-2158x54918,Male,134967.31
10,2020-01-02,Urgent,2,Received,Debit Card,ModernArt Cushion,Home,Decor,220.52,172.08,0.16,"75981 Carla Circle Apt. 460, South Taylor, VT 63474",Same-Day,2020-01-17,Air (Freight),Box Large,17.14,East,Grantberg,79535,2,Small Business,Danielle Olson,35,danielle.olson@yahoo.com,894.671.3560x6548,Female,130634.27
10,2020-01-02,Urgent,3,Received,Debit Card,BakePro Kettle,Home,Kitchen,129.82,79.3,0.3,"75981 Carla Circle Apt. 460, South Taylor, VT 63474",Same-Day,2020-01-17,Air (Freight),Box Large,17.14,East,Grantberg,79535,3,Small Business,Danielle Olson,35,danielle.olson@yahoo.com,894.671.3560x6548,Female,130634.27
10,2020-01-02,Urgent,6,Received,Debit Card,AmbientGlow Plant,Home,Decor,259.04,201.57,0.2,"75981 Carla Circle Apt. 460, South Taylor, VT 63474",Same-Day,2020-01-17,Air (Freight),Box Large,17.14,East,Grantberg,79535,,Small Business,Danielle Olson,35,danielle.olson@yahoo.com,894.671.3560x6548,Female,130634.27
10,2020-01-02,Urgent,10,Received,Debit Card,SoftRelax Cabinet,Home,Furniture,1004.07,876.29,0.05,"75981 Carla Circle Apt. 460, South Taylor, VT 63474",Same-Day,2020-01-17,Air (Freight),Box Large,17.14,East,Grantberg,79535,,Small Business,Danielle Olson,35,danielle.olson@yahoo.com,894.671.3560x6548,Female,130634.27
10,2020-01-02,Urgent,1,Received,Debit Card,StaminaCore Rope,Sports,Fitness,144.33,92.01,0.03,"75981 Carla Circle Apt. 460, South Taylor, VT 63474",Same-Day,2020-01-17,Air (Freight),Box Large,17.14,East,Grantberg,79535,,Small Business,Danielle Olson,35,danielle.olson@yahoo.com,894.671.3560x6548,Female,130634.27
10,2020-01-02,Urgent,1,Received,Debit Card,WindGuard Jacket,Sports,Outdoor,405.13,257.22,0.06,"75981 Carla Circle Apt. 460, South Taylor, VT 63474",Same-Day,2020-01-17,Air (Freight),Box Large,17.14,East,Grantberg,79535,,Small Business,Danielle Olson,35,danielle.olson@yahoo.com,894.671.3560x6548,Female,130634.27
11,2020-01-02,Low,4,Received,Cash,SilentStep Runner,Sports,Indoor,131.7,72.67,0.2,"22783 Barbara Loop, South Kristenton, ME 89019",Express,2020-01-14,Air (Freight),Box Large,15.53,North,South Erinstad,77220,,Small Business,Helen Tapia,45,helen.tapia@outlook.com,866-500-6724,Male,123031.02
11,2020-01-02,Low,7,Received,Cash,SportFlex Shorts,Clothing,Men,97.45,84.53,0.26,"22783 Barbara Loop, South Kristenton, ME 89019",Express,2020-01-14,Air (Freight),Box Large,15.53,North,South Erinstad,77220,,Small Business,Helen Tapia,45,helen.tapia@outlook.com,866-500-6724,Male,123031.02
11,2020-01-02,Low,5,Received,Cash,SoftWeave Jacket,Clothing,Women,65.71,57.9,0.09,"22783 Barbara Loop, South Kristenton, ME 89019",Express,2020-01-14,Air (Freight),Box Large,15.53,North,South Erinstad,77220,1,Small Business,Helen Tapia,45,helen.tapia@outlook.com,866-500-6724,Male,123031.02
11,2020-01-02,Low,7,Received,Cash,FlexiWork Chair,Home,Furniture,1249.74,707.59,0.39,"22783 Barbara Loop, South Kristenton, ME 89019",Express,2020-01-14,Air (Freight),Box Large,15.53,North,South Erinstad,77220,3,Small Business,Helen Tapia,45,helen.tapia@outlook.com,866-500-6724,Male,123031.02
11,2020-01-02,Low,8,Received,Cash,NordicEdge Sofa,Home,Furniture,1364.85,691.15,0.35,"22783 Barbara Loop, South Kristenton, ME 89019",Express,2020-01-14,Air (Freight),Box Large,15.53,North,South Erinstad,77220,2,Small Business,Helen Tapia,45,helen.tapia@outlook.com,866-500-6724,Male,123031.02
12,2020-01-02,Critical,10,Received,In-App Wallet,RusticPro Chair,Home,Furniture,1072.37,558.5,0.32,"52980 Matthew Prairie Suite 818, East Elizabethmouth, WV 22584",Same-Day,2020-01-23,Air (Freight),Box Large,18.0,East,Thomasshire,44502,,Consumer,Tina Stewart,50,tina.stewart@hotmail.com,465-475-5768x67535,Male,114863.57
12,2020-01-02,Critical,5,Received,In-App Wallet,ChefMaster Pan,Home,Kitchen,120.26,106.93,0.0,"52980 Matthew Prairie Suite 818, East Elizabethmouth, WV 22584",Same-Day,2020-01-23,Air (Freight),Box Large,18.0,East,Thomasshire,44502,5,Consumer,Tina Stewart,50,tina.stewart@hotmail.com,465-475-5768x67535,Male,114863.57
12,2020-01-02,Critical,3,Received,In-App Wallet,ComfortHome Stool,Home,Furniture,1014.89,736.47,0.21,"52980 Matthew Prairie Suite 818, East Elizabethmouth, WV 22584",Same-Day,2020-01-23,Air (Freight),Box Large,18.0,East,Thomasshire,44502,,Consumer,Tina Stewart,50,tina.stewart@hotmail.com,465-475-5768x67535,Male,114863.57
12,2020-01-02,Critical,10,Received,In-App Wallet,SilentStep Ball,Sports,Indoor,235.13,161.33,0.04,"52980 Matthew Prairie Suite 818, East Elizabethmouth, WV 22584",Same-Day,2020-01-23,Air (Freight),Box Large,18.0,East,Thomasshire,44502,,Consumer,Tina Stewart,50,tina.stewart@hotmail.com,465-475-5768x67535,Male,114863.57
12,2020-01-02,Critical,8,Received,In-App Wallet,SteelChef Pan,Home,Kitchen,138.37,121.99,0.21,"52980 Matthew Prairie Suite 818, East Elizabethmouth, WV 22584",Same-Day,2020-01-23,Air (Freight),Box Large,18.0,East,Thomasshire,44502,,Consumer,Tina Stewart,50,tina.stewart@hotmail.com,465-475-5768x67535,Male,114863.57
12,2020-01-02,Critical,1,Received,In-App Wallet,AmbientGlow Blanket,Home,Decor,207.21,167.67,0.19,"52980 Matthew Prairie Suite 818, East Elizabethmouth, WV 22584",Same-Day,2020-01-23,Air (Freight),Box Large,18.0,East,Thomasshire,44502,,Consumer,Tina Stewart,50,tina.stewart@hotmail.com,465-475-5768x67535,Male,114863.57
13,2020-01-02,Urgent,8,Received,Cash,Lumix Alpha,Electronics,Cameras,994.31,756.13,0.06,"523 Bradley Vista Apt. 451, Alexanderville, AS 07268",Ordinary,2020-01-06,Air (Freight),Box Medium,10.11,South,Smithview,79447,,Home Office,Alyssa Montgomery,53,alyssa.montgomery@outlook.com,(238)994-9570,Male,48815.64
13,2020-01-02,Urgent,1,Received,Cash,BrightKid Jeans,Clothing,Kids,61.23,44.42,0.32,"523 Bradley Vista Apt. 451, Alexanderville, AS 07268",Ordinary,2020-01-06,Air (Freight),Box Medium,10.11,South,Smithview,79447,,Home Office,Alyssa Montgomery,53,alyssa.montgomery@outlook.com,(238)994-9570,Male,48815.64
13,2020-01-02,Urgent,7,Received,Cash,IdeaPad Pro,Electronics,Laptops,1225.61,950.83,0.45,"523 Bradley Vista Apt. 451, Alexanderville, AS 07268",Ordinary,2020-01-06,Air (Freight),Box Medium,10.11,South,Smithview,79447,4,Home Office,Alyssa Montgomery,53,alyssa.montgomery@outlook.com,(238)994-9570,Male,48815.64
13,2020-01-02,Urgent,1,Received,Cash,HomeEase KnifeSet,Home,Kitchen,158.8,80.86,0.36,"523 Bradley Vista Apt. 451, Alexanderville, AS 07268",Ordinary,2020-01-06,Air (Freight),Box Medium,10.11,South,Smithview,79447,,Home Office,Alyssa Montgomery,53,alyssa.montgomery@outlook.com,(238)994-9570,Male,48815.64
14,2020-01-02,Medium,6,Received,Debit Card,NitroBlade Pro,Electronics,Laptops,1788.33,1319.45,0.08,"88695 Joy Coves Apt. 898, Port Kathleenfurt, UT 34278",Express,2020-01-29,Air (Freight),Box Large,40.14,South,Powersshire,85620,,Home Office,Cindy Anthony,27,cindy.anthony@hotmail.com,253.886.8821x010,Male,149369.58
15,2020-01-02,Urgent,3,Received,Debit Card,CozyNest Diffuser,Home,Decor,231.13,140.45,0.35,"661 Gabriel Villages Suite 531, Scottborough, AK 39790",Express,2020-01-25,Air (Freight),Box Large,25.9,East,East Tracy,15281,3,Corporate,Jennifer Everett,42,jennifer.everett@hotmail.com,(255)405-1736x5773,Female,114042.2
15,2020-01-02,Urgent,4,Received,Debit Card,FlexBook Infinity,Electronics,Laptops,2172.25,1566.12,0.28,"661 Gabriel Villages Suite 531, Scottborough, AK 39790",Express,2020-01-25,Air (Freight),Box Large,25.9,East,East Tracy,15281,4,Corporate,Jennifer Everett,42,jennifer.everett@hotmail.com,(255)405-1736x5773,Female,114042.2
15,2020-01-02,Urgent,4,Received,Debit Card,Alpine Pants,Clothing,Men,71.42,59.33,0.07,"661 Gabriel Villages Suite 531, Scottborough, AK 39790",Express,2020-01-25,Air (Freight),Box Large,25.9,East,East Tracy,15281,2,Corporate,Jennifer Everett,42,jennifer.everett@hotmail.com,(255)405-1736x5773,Female,114042.2
15,2020-01-02,Urgent,2,Received,Debit Card,CozyNest Frame,Home,Decor,135.75,112.38,0.5,"661 Gabriel Villages Suite 531, Scottborough, AK 39790",Express,2020-01-25,Air (Freight),Box Large,25.9,East,East Tracy,15281,,Corporate,Jennifer Everett,42,jennifer.everett@hotmail.com,(255)405-1736x5773,Female,114042.2
16,2020-01-02,Urgent,10,Received,In-App Wallet,Olympus Visio,Electronics,Cameras,1650.71,1184.73,0.07,"45976 Sally Inlet, Lake Kathleen, ND 87694",Same-Day,2020-01-26,Ground,Envelope Large,34.98,South,South Antonio,32385,,Consumer,Julia Howell,23,julia.howell@outlook.com,+1-375-352-6612,Female,97287.3
